"district","distcode","commune","commcode","long","lat","type","pop_dens","clinic_id"
"Andapa","MG72712","Andrakata","MG72712130",49.7167,-14.6287,"CSB2",296.766021728516,590
"Andapa","MG72712","Andranomena","MG72712190",49.5352,-14.6045,"CSB2",1909.99084472656,591
"Andapa","MG72712","Anjialavabe","MG72712330",49.4904,-14.1901,"CSB2",260.990356445312,592
"Andapa","MG72712","Anoviara","MG72712290",49.8336,-14.7419,"CSB2",119.450942993164,593
"Andapa","MG72712","Antsahamena","MG72712350",49.7797,-14.9371,"CSB2",44.9790229797363,594
"Andapa","MG72712","Bealampona","MG72712150",49.5662,-14.6551,"CSB2",1539.66967773438,595
"Andapa","MG72712","Belaoka Marovato","MG72712070",49.5933,-14.5935,"CSB2",533.268615722656,596
"Andapa","MG72712","Betsakotsako Andranotsara","MG72712250",49.5566,-14.5659,"CSB2",637.434143066406,597
"Andapa","MG72712","Doany","MG72712310",49.5155,-14.3744,"CSB2",1179.74938964844,598
"Antalaha","MG72710","Ambohitralanana","MG72710210",50.4595,-15.2487,"CSB2",456.839447021484,599
"Antalaha","MG72710","Antalaha Ambonivohitra","MG72710010",50.2803,-14.8976,"CSB2",4724.7158203125,600
"Antalaha","MG72710","Antalaha Ambonivohitra","MG72710010",50.2809,-14.9069,"CSB2",5614.384765625,601
"Antalaha","MG72710","Antalaha Ambonivohitra","MG72710010",50.2766,-14.8955,"CSB2",4724.7158203125,602
"Antalaha","MG72710","Antananambo","MG72710110",50.1244,-14.8676,"CSB2",534.725219726562,603
"Antalaha","MG72710","Antombana","MG72710070",50.1393,-14.9991,"CSB2",353.494873046875,604
"Antalaha","MG72710","Antsahanoro","MG72710090",50.1421,-14.8403,"CSB2",92.08154296875,605
"Antalaha","MG72710","Antsambalahy","MG72710250",49.959,-14.7708,"CSB2",194.287628173828,606
"Antalaha","MG72710","Lanjarivo","MG72710230",50.0754,-14.6115,"CSB2",928.777770996094,607
"Antalaha","MG72710","Marofinaritra","MG72710130",50.1174,-15.0349,"CSB2",426.86474609375,608
"Antalaha","MG72710","Sarahandrano","MG72710151",50.0222,-14.8267,"CSB2",132.990585327148,609
"Antalaha","MG72710","Ampohibe","MG72710050",50.2995,-15.0337,"CSB2",265.883392333984,610
"Antalaha","MG72710","Ampahana","MG72710030",50.2212,-14.7627,"CSB2",334.335388183594,611
"Vohemar","MG72716","Ambalasatrana","MG72716130",49.6993,-13.7438,"CSB2",205.331283569336,612
"Toamasina II","MG31310","Ambodiriana","MG31310070",49.2716,-17.9334,"CSB2",259.797119140625,613
"Toamasina II","MG31310","Amboditandroroho","MG31310092",49.2762,-18.3293,"CSB2",25.1957378387451,614
"Toamasina II","MG31310","Ampasimadinika Manambolo","MG31310091",49.1978,-18.4441,"CSB2",293.006408691406,615
"Toamasina II","MG31310","Ampasimbe Onibe","MG31310170",49.4664,-17.5991,"CSB2",127.243438720703,616
"Toamasina II","MG31310","Amporoforo","MG31310192",49.1518,-17.8406,"CSB2",42.453197479248,617
"Toamasina II","MG31310","Andondabe","MG31310211",49.3777,-17.7656,"CSB2",297.806915283203,618
"Toamasina II","MG31310","Andranobolaha","MG31310230",49.0385,-18.3145,"CSB2",178.056945800781,619
"Toamasina II","MG31310","Antenina","MG31310193",48.975,-17.7893,"CSB2",30.3683967590332,620
"Toamasina II","MG31310","Antetezambaro","MG31310030",49.3873,-18.0697,"CSB2",297.900695800781,621
"Toamasina II","MG31310","Fanandrana","MG31310050",49.2388,-18.3079,"CSB2",75.4092483520508,622
"Toamasina II","MG31310","Fanandrana","MG31310050",49.267,-18.2591,"CSB2",146.010467529297,623
"Toamasina II","MG31310","Fito","MG31310250",48.7694,-17.9893,"CSB2",1.18552887439728,624
"Toamasina II","MG31310","Mahavelona (Foulpointe)","MG31310110",49.5131,-17.6769,"CSB2",1420.6416015625,625
"Toamasina II","MG31310","Mangabe","MG31310191",49.2337,-17.7266,"CSB2",80.7957153320312,626
"Toamasina II","MG31310","Sahambala","MG31310130",49.1767,-17.955,"CSB2",175.872024536133,627
"Mandritsara","MG42410","Ambalakirajy","MG42410211",48.4238,-15.7933,"CSB2",31.5589370727539,628
"Mandritsara","MG42410","Ambarikorano","MG42410171",48.9866,-15.8948,"CSB2",153.300857543945,629
"Mandritsara","MG42410","Ambaripaika","MG42410191",48.98,-15.7591,"CSB2",145.121978759766,630
"Mandritsara","MG42410","Ambilombe","MG42410270",49.0256,-15.5445,"CSB2",144.886779785156,631
"Mandritsara","MG42410","Amboaboa","MG42410130",48.7194,-15.945,"CSB2",181.943237304688,632
"Mandritsara","MG42410","Ambodiadabo","MG42410391",48.5899,-16.1817,"CSB2",144.898834228516,633
"Mandritsara","MG42410","Ambodiamontana Kianga","MG42410192",48.9368,-15.8092,"CSB2",352.019226074219,634
"Mandritsara","MG42410","Ambohisoa","MG42410330",48.2945,-15.9079,"CSB2",104.559036254883,635
"Mandritsara","MG42410","Amborondolo","MG42410392",48.4852,-16.0995,"CSB2",8.68336772918701,636
"Mandritsara","MG42410","Manampaneva","MG42410150",48.6812,-16.0513,"CSB2",6.46364688873291,637
"Mandritsara","MG42410","Ampatakamaroreny","MG42410350",48.7948,-16.4964,"CSB2",59.6936416625977,638
"Mandritsara","MG42410","Andohajango","MG42410290",48.4962,-15.9085,"CSB2",104.278717041016,639
"Mandritsara","MG42410","Andratamarina","MG42410172",49.0494,-15.8552,"CSB2",30.1454181671143,640
"Mandritsara","MG42410","Anjiabe","MG42410310",48.3509,-15.597,"CSB2",24.1062870025635,641
"Mandritsara","MG42410","Ankiabe-Salohy","MG42410371",48.7341,-15.6105,"CSB2",10.3674345016479,642
"Mandritsara","MG42410","Antanambaon'amberina","MG42410410",49.1128,-16.409,"CSB2",91.8664627075195,643
"Mandritsara","MG42410","Antsatramidola","MG42410231",48.9677,-15.6333,"CSB2",78.2175903320312,644
"Mandritsara","MG42410","Antsiatsiaka","MG42410112",49.1094,-16.0592,"CSB2",17.6977596282959,645
"Mandritsara","MG42410","Antsirabe Centre","MG42410111",48.9652,-15.9552,"CSB2",378.125762939453,646
"Mandritsara","MG42410","Antsoha","MG42410050",48.8028,-15.7698,"CSB2",98.743408203125,647
"Mandritsara","MG42410","Kalandy","MG42410090",48.7435,-15.8306,"CSB2",162.441390991211,648
"Mandritsara","MG42410","Marotandrano","MG42410250",48.8403,-16.1767,"CSB2",901.125305175781,649
"Mandritsara","MG42410","Pont Sofia","MG42410372",48.6482,-15.4953,"CSB2",114.649169921875,650
"Mandritsara","MG42410","Tsaratanana","MG42410070",48.8373,-15.9593,"CSB2",591.000366210938,651
"Vohemar","MG72716","Ampanefena","MG72716231",49.9488,-13.8607,"CSB2",1922.75964355469,652
"Vohemar","MG72716","Ampisikinana","MG72716330",49.804,-12.947,"CSB2",101.872619628906,653
"Vohemar","MG72716","Fanambana","MG72716050",49.9743,-13.4585,"CSB2",13.5768260955811,654
"Vohemar","MG72716","Andrafainkona","MG72716210",49.4665,-13.7422,"CSB2",295.287719726562,655
"Vohemar","MG72716","Andravory","MG72716190",49.6034,-13.8669,"CSB2",111.035697937012,656
"Vohemar","MG72716","Ambodisambalahy","MG72716232",49.8466,-13.8119,"CSB2",396.080169677734,657
"Vohemar","MG72716","Belambo","MG72716350",49.856,-14.021,"CSB2",592.123840332031,658
"Vohemar","MG72716","Bobakindro","MG72716090",49.6819,-13.4734,"CSB2",177.401016235352,659
"Vohemar","MG72716","Daraina","MG72716110",49.659,-13.205,"CSB2",281.371520996094,660
"Vohemar","MG72716","Fanambana","MG72716050",49.9878,-13.5538,"CSB2",411.451538085938,661
"Vohemar","MG72716","Maromokotra Loky","MG72716290",49.4739,-13.0082,"CSB2",82.867317199707,662
"Vohemar","MG72716","Milanoa","MG72716070",49.7803,-13.5866,"CSB2",50.8200263977051,663
"Vohemar","MG72716","Nosibe","MG72716170",49.7948,-13.1766,"CSB2",12.1044139862061,664
"Vohemar","MG72716","Vohemar","MG72716010",49.9918,-13.3737,"CSB2",824.740600585938,665
"Vohemar","MG72716","Amboriala","MG72716270",49.4313,-13.846,"CSB2",32.045280456543,666
"Fianarantsoa I","MG21201","Tanana Ambony","MG21201001",47.0698,-21.4669,"CSB2",2922.46850585938,667
"Fianarantsoa I","MG21201","Manolafaka","MG21201005",47.0762,-21.4147,"CSB2",564.378051757812,668
"Fianarantsoa I","MG21201","Tanana Ambony","MG21201001",47.0885,-21.4556,"CSB2",17391.98828125,669
"Fianarantsoa I","MG21201","Vatosola","MG21201007",47.057,-21.4455,"CSB2",511.432708740234,670
"Fianarantsoa I","MG21201","Tanana Ambany","MG21201002",47.0971,-21.4376,"CSB2",10048.642578125,671
"Fianarantsoa I","MG21201","Lalazana","MG21201006",47.0602,-21.4859,"CSB2",935.739501953125,672
"Fianarantsoa I","MG21201","Andrainjato Avaratra","MG21201003",47.1036,-21.448,"CSB2",5473.7197265625,673
"Fianarantsoa I","MG21201","Tanana Ambony","MG21201001",47.0875,-21.4567,"CSB2",17391.98828125,674
"Fianarantsoa I","MG21201","Tanana Ambony","MG21201001",47.0866,-21.4556,"CSB2",17391.98828125,675
"Fianarantsoa I","MG21201","Tanana Ambony","MG21201001",47.0819,-21.4547,"CSB2",7342.10546875,676
"Fianarantsoa I","MG21201","Andrainjato Avaratra","MG21201003",47.1102,-21.4641,"CSB2",869.386047363281,677
"Fianarantsoa I","MG21201","Tanana Ambany","MG21201002",47.0969,-21.4339,"CSB2",10048.642578125,678
"Fianarantsoa I","MG21201","Tanana Ambony","MG21201001",47.0828,-21.4646,"CSB2",6720.921875,679
"Fianarantsoa I","MG21201","Tanana Ambany","MG21201002",47.1021,-21.4424,"CSB2",5473.7197265625,680
"Vohibato","MG21224","Alakamisy Itenina","MG21224050",47.1569,-21.6461,"CSB2",680.534240722656,681
"Lalangina","MG21220","Ambalakely","MG21220030",47.1661,-21.4188,"CSB2",1207.91247558594,682
"Lalangina","MG21220","Ambalamahasoa","MG21220210",47.1428,-21.3396,"CSB2",134.871353149414,683
"Isandra","MG21225","Ambalamidera II","MG21225090",46.8542,-21.3301,"CSB2",453.587036132812,684
"Isandra","MG21225","Ambondrona","MG21225070",46.9934,-21.267,"CSB2",231.130416870117,685
"Isandra","MG21225","Andoharanomaitso","MG21225050",46.9488,-21.4709,"CSB2",703.802429199219,686
"Lalangina","MG21220","Andrainjato Centre","MG21220011",47.139,-21.4948,"CSB2",391.339569091797,687
"Lalangina","MG21220","Andrainjato Est","MG21220012",47.1838,-21.5438,"CSB2",532.027770996094,688
"Vohibato","MG21224","Andranomiditra","MG21224230",47.2725,-21.6393,"CSB2",418.152954101562,689
"Vohibato","MG21224","Andranovorivato","MG21224190",46.9902,-21.628,"CSB2",738.0078125,690
"Lalangina","MG21220","Androy","MG21220330",47.2715,-21.3315,"CSB2",319.326324462891,691
"Isandra","MG21225","Anjoma Itsara","MG21225030",46.9169,-21.2205,"CSB2",324.691986083984,692
"Isandra","MG21225","Ankarinarivo Manirisoa","MG21225110",47.0359,-21.3916,"CSB2",423.653533935547,693
"Lalangina","MG21220","Fandrandava","MG21220430",47.2452,-21.521,"CSB2",649.8525390625,694
"Isandra","MG21225","Fanjakana","MG21225190",46.8875,-21.1815,"CSB2",876.60546875,695
"Lalangina","MG21220","Alatsinainy Ialamarina","MG21220350",47.3035,-21.5285,"CSB2",532.03369140625,696
"Isandra","MG21225","Iavonomby Vohibola","MG21225210",47.0671,-21.3259,"CSB2",758.3154296875,697
"Isandra","MG21225","Isorana","MG21225010",46.9333,-21.3194,"CSB2",364.949829101562,698
"Lalangina","MG21220","Ivoamba","MG21220070",47.1492,-21.3946,"CSB2",388.14892578125,699
"Vohibato","MG21224","Mahaditra","MG21224270",47.0958,-21.7682,"CSB2",731.770446777344,700
"Vohibato","MG21224","Mahaditra","MG21224270",47.0687,-21.7792,"CSB2",415.725494384766,701
"Vohibato","MG21224","Mahasoabe","MG21224010",47.2164,-21.5905,"CSB2",1282.25817871094,702
"Lalangina","MG21220","Mahatsinjony","MG21220111",47.2027,-21.4211,"CSB2",1297.49938964844,703
"Isandra","MG21225","Mahazoarivo","MG21225170",46.8226,-21.3733,"CSB2",321.030578613281,704
"Vohibato","MG21224","Maneva","MG21224150",47.0749,-21.5797,"CSB2",367.576080322266,705
"Isandra","MG21225","Nasandratrony","MG21225150",47.0333,-21.3556,"CSB2",608.53466796875,706
"Lalangina","MG21220","Sahambavy","MG21220112",47.257,-21.4408,"CSB2",408.114135742188,707
"Vohibato","MG21224","Soaindrana","MG21224250",47.0415,-21.5149,"CSB2",229.21858215332,708
"Isandra","MG21225","Soatanana","MG21225130",46.9207,-21.3888,"CSB2",1358.80505371094,709
"Vohibato","MG21224","Talata Ampano","MG21224070",47.0375,-21.5633,"CSB2",1051.78601074219,710
"Vohibato","MG21224","Vinanitelo","MG21224030",47.2627,-21.7361,"CSB2",444.118286132812,711
"Vohibato","MG21224","Vohimarina","MG21224130",46.9062,-21.6283,"CSB2",406.285766601562,712
"Lalangina","MG21220","Taindambo","MG21220090",47.1822,-21.4437,"CSB2",532.03173828125,713
"Ambalavao","MG21205","Ambalavao","MG21205010",46.9384,-21.8302,"CSB2",4311.67724609375,714
"Ambalavao","MG21205","Ambinanindovoka","MG21205190",47.095,-21.9338,"CSB2",615.838256835938,715
"Ambalavao","MG21205","Ambinaniroa","MG21205212",46.4929,-21.9072,"CSB2",257.508544921875,716
"Ambalavao","MG21205","Ambohimahamasina","MG21205230",47.1757,-21.9356,"CSB2",399.852905273438,717
"Ambalavao","MG21205","Ambohimandroso","MG21205071",46.9606,-21.892,"CSB2",401.994964599609,718
"Ambalavao","MG21205","Andrainjato","MG21205072",46.9865,-21.9119,"CSB2",130.21858215332,719
"Ambalavao","MG21205","Anjoma","MG21205090",47.0338,-21.8879,"CSB2",305.358337402344,720
"Ambalavao","MG21205","Ankaramena","MG21205211",46.6417,-21.9466,"CSB2",321.041870117188,721
"Ambalavao","MG21205","Besoa","MG21205150",46.7728,-21.9104,"CSB2",143.139266967773,722
"Ambalavao","MG21205","Fenoarivo","MG21205290",46.3862,-21.7189,"CSB2",110.65510559082,723
"Ambalavao","MG21205","Iarintsena","MG21205050",46.8801,-21.8282,"CSB2",520.294067382812,724
"Ambalavao","MG21205","Kirano","MG21205110",47.0248,-21.8394,"CSB2",141.844100952148,725
"Ambalavao","MG21205","Mahazony","MG21205170",47.0264,-21.9885,"CSB2",131.700836181641,726
"Ambalavao","MG21205","Manamisoa","MG21205030",46.9712,-21.7759,"CSB2",44.6530418395996,727
"Ambalavao","MG21205","Miarinarivo","MG21205250",47.0568,-22.0678,"CSB2",127.467781066895,728
"Ambalavao","MG21205","Sendrisoa","MG21205130",46.9501,-22.0016,"CSB2",512.427490234375,729
"Ambalavao","MG21205","Vohitsaoka","MG21205270",46.7246,-22.0346,"CSB2",299.49072265625,730
"Ambalavao","MG21205","Anjoma","MG21205090",47.076,-21.84,"CSB2",75.5482025146484,731
"Ambohimahasoa","MG21208","Ambalakindresy","MG21208072",47.3313,-21.1215,"CSB2",103.724807739258,732
"Ambohimahasoa","MG21208","Ambohimahasoa","MG21208010",47.2223,-21.1023,"CSB2",2572.06762695312,733
"Ambohimahasoa","MG21208","Ambohinamboarina","MG21208230",47.0517,-21.0321,"CSB2",280.099182128906,734
"Ambohimahasoa","MG21208","Ampitana","MG21208030",47.2178,-21.1306,"CSB2",586.875671386719,735
"Vohibato","MG21224","Mahaditra","MG21224270",47.1664,-21.8377,"CSB2",16.6409225463867,736
"Ambohimahasoa","MG21208","Ankerana","MG21208050",47.1664,-21.1184,"CSB2",304.898376464844,737
"Ambohimahasoa","MG21208","Befeta","MG21208270",47.0489,-21.2326,"CSB2",512.164672851562,738
"Ambohimahasoa","MG21208","Camp Robin","MG21208252",47.1409,-20.9296,"CSB2",1037.26110839844,739
"Ambohimahasoa","MG21208","Fiadanana","MG21208290",47.1773,-20.8747,"CSB2",462.040130615234,740
"Ambohimahasoa","MG21208","Isaka","MG21208211",47.0166,-21.1396,"CSB2",644.972106933594,741
"Ambohimahasoa","MG21208","Ikalalao","MG21208150",47.109,-21.1824,"CSB2",565.499145507812,742
"Ambohimahasoa","MG21208","Manandroy","MG21208071",47.2687,-21.1367,"CSB2",384.946624755859,743
"Ambohimahasoa","MG21208","Morafeno","MG21208130",47.2912,-21.2051,"CSB2",616.806091308594,744
"Ambohimahasoa","MG21208","Ambatosoa","MG21208190",47.2549,-20.9698,"CSB2",55.9460754394531,745
"Ambohimahasoa","MG21208","Sahatona","MG21208251",47.102,-20.9622,"CSB2",83.9359436035156,746
"Ambohimahasoa","MG21208","Sahave","MG21208110",47.1156,-21.0796,"CSB2",191.536575317383,747
"Ambohimahasoa","MG21208","Vohiposa","MG21208170",47.1619,-20.9957,"CSB2",995.218322753906,748
"Ambohimahasoa","MG21208","Vohitrarivo","MG21208212",46.9629,-21.0906,"CSB2",142.558837890625,749
"Ikalamavony","MG21219","Ambatomainty","MG21219070",46.4472,-20.8997,"CSB2",143.583358764648,750
"Ikalamavony","MG21219","Fitampito","MG21219090",46.3083,-20.9648,"CSB2",90.7385559082031,751
"Ikalamavony","MG21219","Ikalamavony","MG21219010",46.5971,-21.1636,"CSB2",1163.98474121094,752
"Ikalamavony","MG21219","Mangidy","MG21219030",46.7958,-21.2544,"CSB2",438.061340332031,753
"Ikalamavony","MG21219","Tanamarina Sakay","MG21219110",46.6027,-21.4679,"CSB2",36.6821823120117,754
"Ikalamavony","MG21219","Solila","MG21219050",46.6171,-21.417,"CSB2",116.355056762695,755
"Ikalamavony","MG21219","Tanamarina Bekisopa","MG21219150",45.8858,-21.645,"CSB2",0.911100804805756,756
"Ikalamavony","MG21219","Tsitondroina","MG21219130",46.2454,-21.2867,"CSB2",2.43724822998047,757
"Ambositra","MG22203","Alakamisy Ambohijato","MG22203210",47.3152,-20.5673,"CSB2",885.051147460938,758
"Ambositra","MG22203","Ambalamanakana","MG22203250",47.1825,-20.7415,"CSB2",224.301116943359,759
"Ambositra","MG22203","Ambatofitorahana","MG22203390",47.1822,-20.8177,"CSB2",361.224426269531,760
"Ambositra","MG22203","Sahatsiho Ambohimanjaka","MG22203450",47.0916,-20.2011,"CSB2",443.688568115234,761
"Ambositra","MG22203","Ambohimitombo I","MG22203491",47.3904,-20.6791,"CSB2",118.919204711914,762
"Ambositra","MG22203","Ambohimitombo II","MG22203492",47.4466,-20.6116,"CSB2",69.2612457275391,763
"Ambositra","MG22203","Ambositra I","MG22203010",47.2487,-20.5181,"CSB2",2106.74633789062,764
"Ambositra","MG22203","Ambositra I","MG22203010",47.2493,-20.5488,"CSB2",2481.20385742188,765
"Ambositra","MG22203","Ambositra II","MG22203030",47.2624,-20.5186,"CSB2",488.804290771484,766
"Ambositra","MG22203","Andina","MG22203090",47.156,-20.5253,"CSB2",648.53564453125,767
"Ambositra","MG22203","Ankazoambo","MG22203050",47.2356,-20.5709,"CSB2",664.275634765625,768
"Ambositra","MG22203","Antoetra","MG22203410",47.3175,-20.7754,"CSB2",318.323516845703,769
"Ambositra","MG22203","Fahizay","MG22203190",47.3367,-20.5099,"CSB2",218.056549072266,770
"Ambositra","MG22203","Ihadilanana","MG22203310",47.0362,-20.4549,"CSB2",185.503509521484,771
"Ambositra","MG22203","Ilaka Centre","MG22203290",47.1409,-20.3266,"CSB2",353.8037109375,772
"Ambositra","MG22203","Imerina Imady","MG22203110",47.3209,-20.527,"CSB2",694.400207519531,773
"Ambositra","MG22203","Ivato","MG22203130",47.2004,-20.627,"CSB2",137.330276489258,774
"Ambositra","MG22203","Ivony Miaramiasa","MG22203070",47.2001,-20.5644,"CSB2",314.952758789062,775
"Ambositra","MG22203","Kianjandrakefina","MG22203230",47.3481,-20.6161,"CSB2",226.776229858398,776
"Ambositra","MG22203","Mahazina Ambohipierenana","MG22203430",47.0698,-20.3445,"CSB2",6.99374961853027,777
"Ambositra","MG22203","Marosoa","MG22203170",47.3652,-20.5424,"CSB2",247.235427856445,778
"Ambositra","MG22203","Marosoa","MG22203170",47.3702,-20.5231,"CSB2",100.751083374023,779
"Ambositra","MG22203","Tsarasaotra","MG22203150",47.2119,-20.4444,"CSB2",386.881195068359,780
"Ambositra","MG22203","Vohidahy","MG22203552",47.5527,-20.5594,"CSB2",194.488739013672,781
"Ambositra","MG22203","Ambositra I","MG22203010",47.2502,-20.521,"CSB2",1611.41845703125,782
"Ambositra","MG22203","Ambositra I","MG22203010",47.2467,-20.5322,"CSB2",12558.08203125,783
"Ambatofinandrahana","MG22202","Ambatofinandrahana","MG22202010",46.801,-20.5537,"CSB2",2498.64428710938,784
"Ambatofinandrahana","MG22202","Ambatomifanongoa","MG22202110",46.9164,-20.206,"CSB2",194.047760009766,785
"Ambatofinandrahana","MG22202","Ambondromisotra","MG22202090",46.9045,-20.3241,"CSB2",197.973983764648,786
"Manandriana","MG22223","Andakatany","MG22223172",47.0106,-20.5076,"CSB2",195.260528564453,787
"Ambatofinandrahana","MG22202","Amborompotsy","MG22202130",46.2465,-20.6062,"CSB2",463.23779296875,788
"Ambatofinandrahana","MG22202","Fenoarivo","MG22202050",46.8779,-20.8697,"CSB2",474.279541015625,789
"Ambatofinandrahana","MG22202","Itremo","MG22202030",46.6357,-20.5945,"CSB2",153.527648925781,790
"Ambatofinandrahana","MG22202","Mandrosonoro","MG22202150",46.0004,-20.5912,"CSB2",431.797729492188,791
